pseudocode,state,district,block,rural_urban,lgd_vill_name,school_category,school_type,lowclass,highclass,managment,pincode,pre_primary,shift_school,resi_school,class_1_students,class_2_students,class_3_students,class_4_students,class_5_students,class_6_students,class_7_students,class_8_students,class_9_students,class_10_students,class_11_students,class_12_students,total_students,total_tch,regular,contract,part_time,total_class_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,total_boys_toilet,total_girls_toilet,desktop,laptop,tablet,internet,electricity_availability,library_availability,playground_available,structure_name,structure_status,classroom_repair_gap,has_internet,has_library
4476345,UTTAR PRADESH,BAREILLY,BHUTA,1,Charpur,1,3,1,5,1,243503,2,2,3,20,18,25,19,31,0,0,0,0,0,0,0,113,7,4,3,0,5,0,2,3,2,2,0,0,0,1,1,1,2,Primary (1–5),STANDARD,5,True,True
1684436,UTTAR PRADESH,BAREILLY,BAREILLY TOWN,2,,2,3,1,8,5,243005,2,2,3,31,43,41,50,39,27,26,24,0,0,0,0,281,11,4,6,1,8,8,0,0,2,2,1,1,0,1,1,1,1,Upper Primary (1–8),STANDARD,0,True,True
6103978,UTTAR PRADESH,BAREILLY,SHERGARH,1,Pipra,4,3,6,8,1,243001,9,2,3,0,0,0,0,0,5,12,5,0,0,0,0,22,0,0,0,0,4,2,2,0,1,1,0,0,0,2,1,1,2,Upper Primary (6–8),STANDARD,2,False,True
8333770,UTTAR PRADESH,BAREILLY,RICHHA(DAMKHODA),1,Mangadpur,1,3,1,5,1,243202,2,2,3,3,3,3,9,13,0,0,0,0,0,0,0,31,4,2,2,0,4,3,0,1,1,1,0,1,2,2,1,1,1,Primary (1–5),STANDARD,1,False,True
2853260,UTTAR PRADESH,BAREILLY,RAMNAGAR,1,Gularia Aril,2,3,1,8,5,243303,2,2,3,45,41,42,48,61,63,40,25,0,0,0,0,365,9,9,0,0,8,8,0,0,2,2,0,0,0,1,2,1,2,Upper Primary (1–8),STANDARD,0,True,True
6936840,UTTAR PRADESH,BAREILLY,BHADPURA,1,Sunaur,1,3,1,5,1,262406,2,2,3,32,23,10,54,35,0,0,0,0,0,0,0,154,6,5,1,0,6,1,3,2,1,1,0,0,2,2,1,1,2,Primary (1–5),STANDARD,5,False,True
9348915,UTTAR PRADESH,BAREILLY,BAREILLY TOWN,2,,2,3,1,8,5,243005,2,2,3,32,24,18,19,11,9,14,4,0,0,0,0,131,8,8,0,0,5,5,0,0,2,2,2,1,0,2,1,1,1,Upper Primary (1–8),STANDARD,0,False,True
4141355,UTTAR PRADESH,BAREILLY,NAWABGANJ,1,Mujhena Jagir,1,3,1,5,5,262406,2,2,3,16,15,37,35,29,0,0,0,0,0,0,0,132,3,3,0,0,5,5,0,0,2,2,1,0,0,1,1,2,1,Primary (1–5),STANDARD,0,True,False
1593691,UTTAR PRADESH,BAREILLY,BAHERI,1,Chak Narkunda,2,3,1,8,1,243201,2,2,3,29,34,24,25,29,18,32,17,0,0,0,0,208,8,6,2,0,10,0,2,8,2,3,0,2,2,2,1,1,2,Upper Primary (1–8),STANDARD,10,False,True
6448936,UTTAR PRADESH,BAREILLY,BAREILLY TOWN,2,,2,3,1,8,5,243003,2,2,3,0,0,10,7,5,5,4,6,0,0,0,0,37,5,5,0,0,8,8,0,0,2,2,0,0,0,1,1,2,1,Upper Primary (1–8),STANDARD,0,True,False
2696755,UTTAR PRADESH,BAREILLY,ALAMPUR,1,Sirohi,1,3,1,5,5,243301,2,2,3,14,12,24,17,16,0,0,0,0,0,0,0,83,4,0,4,0,5,5,0,0,2,2,0,0,0,2,2,1,1,Primary (1–5),STANDARD,0,False,True
4162600,UTTAR PRADESH,BAREILLY,LUCKNOW REGION,2,,3,3,1,12,92,243201,1,2,3,121,128,122,124,123,132,129,141,146,109,118,74,1467,48,48,0,0,37,37,0,0,14,21,113,40,13,1,1,1,1,Higher Secondary (1–12),STANDARD,0,True,True
2752766,UTTAR PRADESH,BAREILLY,SHERGARH,1,Ghatgaon,1,3,1,5,1,243505,2,2,3,5,9,5,10,11,0,0,0,0,0,0,0,40,4,2,2,0,7,4,3,0,1,1,0,0,2,1,1,1,1,Primary (1–5),STANDARD,3,True,True
4049279,UTTAR PRADESH,BAREILLY,MIRGANJ,1,Raiya Nagla,4,3,6,8,1,243504,9,2,3,0,0,0,0,0,38,27,43,0,0,0,0,108,3,3,0,0,4,2,2,0,1,1,0,0,0,2,1,1,1,Upper Primary (6–8),STANDARD,2,False,True
5712789,UTTAR PRADESH,BAREILLY,BHOJIPURA,1,Kodhampur,2,3,1,8,1,243502,2,2,3,6,11,13,19,15,43,37,31,0,0,0,0,175,10,8,2,0,8,8,0,0,2,1,0,1,2,1,1,1,1,Upper Primary (1–8),STANDARD,0,True,True
5434382,UTTAR PRADESH,BAREILLY,KYARA,1,Palpur Kamalpur,8,3,9,10,1,243001,9,2,3,0,0,0,0,0,0,0,0,64,50,0,0,114,4,4,0,0,8,8,0,0,4,4,3,0,0,1,1,1,1,Secondary (9–10),STANDARD,0,True,True
9380519,UTTAR PRADESH,BAREILLY,VITHARI CHAINPUR,1,Udaipur Jasrathpur,4,3,6,8,1,243123,9,2,3,0,0,0,0,0,28,14,28,0,0,0,0,70,3,3,0,0,3,0,3,0,1,1,0,0,2,2,1,1,1,Upper Primary (6–8),STANDARD,3,False,True
4622976,UTTAR PRADESH,BAREILLY,SHERGARH,1,Dhaneli,2,3,1,8,1,243505,2,2,3,32,20,20,39,36,47,52,34,0,0,0,0,280,8,6,2,0,9,8,0,1,1,3,0,1,0,2,1,1,2,Upper Primary (1–8),STANDARD,1,False,True
8383402,UTTAR PRADESH,BAREILLY,KYARA,1,Gokulpur,8,3,9,10,1,243001,9,2,3,0,0,0,0,0,0,0,0,43,35,0,0,78,4,4,0,0,8,8,0,0,1,1,12,0,0,1,1,1,2,Secondary (9–10),STANDARD,0,True,True
1455141,UTTAR PRADESH,BAREILLY,BAREILLY TOWN,2,,2,3,1,8,5,243006,1,2,3,5,9,28,2,13,19,13,7,0,0,0,0,96,11,10,0,1,8,7,1,0,2,2,0,1,0,1,1,2,2,Upper Primary (1–8),STANDARD,1,True,False
9138678,UTTAR PRADESH,BAREILLY,BHOJIPURA,1,Isapur,2,3,1,8,1,243202,2,2,3,14,16,27,55,53,51,49,28,0,0,0,0,293,8,7,1,0,9,4,4,1,2,2,0,2,2,1,1,1,1,Upper Primary (1–8),STANDARD,5,True,True
6250061,UTTAR PRADESH,BAREILLY,KYARA,1,Jallapur Ram Dayal,1,3,1,5,1,243001,2,2,3,37,35,27,42,41,0,0,0,0,0,0,0,182,7,5,2,0,6,4,2,0,2,3,0,0,2,2,1,1,2,Primary (1–5),STANDARD,2,False,True
2238606,UTTAR PRADESH,BAREILLY,MIRGANJ,1,Paiga Nagri Urf Nagaria Bhagat,4,3,6,8,1,243504,9,2,3,0,0,0,0,0,25,33,41,0,0,0,0,99,5,5,0,0,5,4,1,0,1,1,0,0,2,1,1,1,2,Upper Primary (6–8),STANDARD,1,True,True
5552141,UTTAR PRADESH,BAREILLY,RICHHA(DAMKHODA),1,Karanpur,2,3,1,8,5,243203,2,2,3,26,29,24,20,28,37,33,34,0,0,0,0,231,9,1,7,1,8,8,0,0,4,4,5,1,1,1,1,1,1,Upper Primary (1–8),STANDARD,0,True,True
4555188,UTTAR PRADESH,BAREILLY,RICHHA(DAMKHODA),1,Manunagar,4,3,6,8,1,243201,9,2,3,0,0,0,0,0,19,14,21,0,0,0,0,54,2,2,0,0,3,3,0,0,1,1,0,0,0,2,1,1,1,Upper Primary (6–8),STANDARD,0,False,True
4905486,UTTAR PRADESH,BAREILLY,SHERGARH,1,Manpur,10,3,9,12,5,243201,9,2,3,0,0,0,0,0,0,0,0,143,132,270,248,793,13,1,5,7,24,24,0,0,8,8,1,3,1,1,2,1,1,Higher Secondary (9–12),STANDARD,0,True,True
4500393,UTTAR PRADESH,BAREILLY,ALAMPUR,1,Singha,2,3,1,8,5,243402,2,1,2,2,0,0,1,0,1,0,0,0,0,0,0,4,4,1,3,0,4,4,0,0,1,1,0,0,0,2,1,2,1,Upper Primary (1–8),STANDARD,0,False,False
4968508,UTTAR PRADESH,BAREILLY,ALAMPUR,1,Bhamora,4,3,6,8,5,243001,9,2,3,0,0,0,0,0,6,5,6,0,0,0,0,17,3,2,1,0,4,4,0,0,1,1,0,0,0,2,1,2,1,Upper Primary (6–8),STANDARD,0,False,False
1985904,UTTAR PRADESH,BAREILLY,VITHARI CHAINPUR,1,Mohanpur Urf Ram Nager,2,3,1,8,5,243001,2,2,1,20,25,21,31,22,22,11,9,0,0,0,0,161,5,5,0,0,8,8,0,0,1,1,2,1,0,1,1,1,1,Upper Primary (1–8),STANDARD,0,True,True
4679731,UTTAR PRADESH,BAREILLY,BHOJIPURA,1,Pachdeora Kalan,1,3,1,5,97,243202,2,2,3,13,0,0,0,0,0,0,0,0,0,0,0,13,1,0,1,0,5,5,0,0,1,1,2,1,0,1,1,1,1,Primary (1–5),STANDARD,0,True,True
6180590,UTTAR PRADESH,BAREILLY,BAREILLY TOWN,2,,1,3,1,5,5,243003,2,2,3,2,1,5,2,0,0,0,0,0,0,0,0,10,3,2,0,1,2,2,0,0,0,1,0,1,1,1,1,2,2,Primary (1–5),STANDARD,0,True,False
8899256,UTTAR PRADESH,BAREILLY,BAREILLY TOWN,2,,1,3,1,5,5,243005,2,2,3,8,9,4,11,6,0,0,0,0,0,0,0,38,3,3,0,0,5,5,0,0,1,1,1,0,0,2,1,1,1,Primary (1–5),STANDARD,0,False,True
7734948,UTTAR PRADESH,BAREILLY,BHADPURA,1,Barkhan,1,3,1,5,5,262406,2,2,3,29,14,12,12,13,0,0,0,0,0,0,0,80,5,5,0,0,5,5,0,0,1,1,0,1,0,2,1,1,1,Primary (1–5),STANDARD,0,False,True
6877519,UTTAR PRADESH,BAREILLY,BAREILLY TOWN,2,,2,3,1,8,5,243006,1,2,3,42,27,16,28,21,15,12,17,0,0,0,0,178,9,9,0,0,13,13,0,0,4,4,1,0,0,2,1,1,1,Upper Primary (1–8),STANDARD,0,False,True
6356249,UTTAR PRADESH,BAREILLY,BAREILLY TOWN,2,,1,3,1,5,5,243001,2,2,3,4,8,0,1,2,0,0,0,0,0,0,0,15,2,2,0,0,5,5,0,0,2,2,1,0,0,2,1,1,1,Primary (1–5),STANDARD,0,False,True
3873515,UTTAR PRADESH,BAREILLY,AONLA,2,,1,3,1,5,97,243301,2,2,3,7,7,13,8,5,0,0,0,0,0,0,0,40,5,5,0,0,5,5,0,0,2,2,0,1,0,1,1,2,1,Primary (1–5),STANDARD,0,True,False
1941891,UTTAR PRADESH,BAREILLY,BAREILLY TOWN,2,,2,3,1,8,5,243001,1,2,3,0,2,8,10,8,3,6,4,0,0,0,0,41,6,6,0,0,5,5,0,0,3,3,0,0,0,2,1,1,1,Upper Primary (1–8),STANDARD,0,False,True
7812427,UTTAR PRADESH,BAREILLY,BAREILLY TOWN,2,,1,3,1,5,5,243003,2,2,3,8,17,12,12,12,0,0,0,0,0,0,0,61,5,0,5,0,5,5,0,0,3,3,0,0,0,1,1,1,1,Primary (1–5),STANDARD,0,True,True
8226374,UTTAR PRADESH,BAREILLY,BAREILLY TOWN,2,,2,3,1,8,5,243002,1,2,3,16,10,9,6,8,4,2,1,0,0,0,0,56,3,1,1,1,12,12,0,0,2,2,2,0,0,1,1,1,1,Upper Primary (1–8),STANDARD,0,True,True
2947770,UTTAR PRADESH,BAREILLY,SHERGARH,1,Kamalpur Shumali,2,3,1,8,5,243501,2,2,3,30,27,18,31,27,24,26,32,0,0,0,0,215,8,8,0,0,8,8,0,0,1,2,0,1,0,1,1,2,1,Upper Primary (1–8),STANDARD,0,True,False
9204081,UTTAR PRADESH,BAREILLY,RAMNAGAR,1,Dastampur,1,3,1,5,97,243303,2,2,3,0,5,0,5,2,0,0,0,0,0,0,0,12,5,5,0,0,5,5,0,0,1,1,0,0,0,2,2,1,1,Primary (1–5),STANDARD,0,False,True
5845688,UTTAR PRADESH,BAREILLY,RAMNAGAR,1,Lelaur Buzurg,2,3,1,8,5,243303,2,2,3,0,0,8,20,11,5,17,19,0,0,0,0,80,6,4,2,0,9,9,0,0,1,1,0,0,0,2,2,1,2,Upper Primary (1–8),STANDARD,0,False,True
2718798,UTTAR PRADESH,BAREILLY,KYARA,1,Kargaina,2,3,1,8,5,243001,1,2,3,25,31,20,21,19,20,22,18,0,0,0,0,176,13,12,1,0,11,11,0,0,3,3,27,0,0,1,1,1,1,Upper Primary (1–8),STANDARD,0,True,True
3039398,UTTAR PRADESH,BAREILLY,BAREILLY TOWN,2,,6,3,1,10,97,243001,2,2,1,0,0,0,6,3,5,9,6,10,8,0,0,47,8,3,5,0,10,10,0,0,4,1,0,0,0,1,1,1,2,Secondary (1–10),STANDARD,0,True,True
3337309,UTTAR PRADESH,BAREILLY,NAWABGANJ,2,,3,3,1,12,5,262406,2,2,3,48,62,58,72,67,78,70,49,94,117,79,53,847,32,31,1,0,26,26,0,0,8,7,40,3,1,1,1,1,1,Higher Secondary (1–12),STANDARD,0,True,True
4496971,UTTAR PRADESH,BAREILLY,BAREILLY TOWN,2,,1,3,1,5,5,243502,2,2,3,30,24,19,12,29,0,0,0,0,0,0,0,114,5,5,0,0,5,5,0,0,1,1,3,0,0,2,1,2,1,Primary (1–5),STANDARD,0,False,False
8233398,UTTAR PRADESH,BAREILLY,BAREILLY TOWN,2,,2,3,1,8,5,243502,2,2,3,4,13,11,7,21,15,21,24,0,0,0,0,116,6,6,0,0,10,10,0,0,6,6,4,0,0,2,1,1,1,Upper Primary (1–8),STANDARD,0,False,True
8290960,UTTAR PRADESH,BAREILLY,BAREILLY TOWN,2,,1,3,1,5,5,243003,2,2,3,1,1,1,2,5,0,0,0,0,0,0,0,10,2,1,1,0,5,5,0,0,2,2,0,1,0,1,1,2,1,Primary (1–5),STANDARD,0,True,False
4555535,UTTAR PRADESH,BAREILLY,FATEHGANJ,1,Tiliya Pur,2,3,1,8,5,243502,2,2,3,13,0,12,11,12,28,31,12,0,0,0,0,119,5,5,0,0,8,8,0,0,2,2,2,2,0,1,1,1,1,Upper Primary (1–8),STANDARD,0,True,True
8594263,UTTAR PRADESH,BAREILLY,VITHARI CHAINPUR,1,Mohanpur Urf Ram Nager,2,3,1,8,5,243123,1,2,3,53,47,36,48,32,29,25,15,0,0,0,0,285,10,10,0,0,14,14,0,0,3,2,0,5,0,1,1,2,2,Upper Primary (1–8),STANDARD,0,True,False
3044739,UTTAR PRADESH,BAREILLY,KYARA,1,Kargaina,4,3,6,8,1,243005,9,2,3,0,0,0,0,0,66,62,77,0,0,0,0,205,9,6,2,1,4,3,1,0,1,1,0,0,1,2,1,1,2,Upper Primary (6–8),STANDARD,1,False,True
